,Course,Daytime_evening_attendance,Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status_New,Status_0,Status_1,Status_2,Status
0,171,1,127.3,0,0,1,1,0,20,0.0,0.0,0,True,False,False,0
1,9254,1,142.5,0,0,0,1,0,19,14.0,13.666666666666666,1,False,False,True,2
2,9070,1,124.8,0,0,0,1,0,19,0.0,0.0,0,True,False,False,0
3,9773,1,119.6,0,0,1,0,0,20,13.428571428571429,12.4,1,False,False,True,2
4,8014,0,141.5,0,0,1,0,0,45,12.333333333333334,13.0,1,False,False,True,2
5,9991,0,114.8,0,1,1,1,0,50,11.857142857142858,11.5,1,False,False,True,2
6,9500,1,128.4,0,0,1,0,1,18,13.3,14.345,1,False,False,True,2
7,9254,1,113.1,0,0,0,1,0,22,0.0,0.0,0,True,False,False,0
8,9238,1,129.3,0,0,1,0,1,21,13.875,14.142857142857142,1,False,False,True,2
9,9238,1,123.0,0,1,0,0,0,18,11.4,13.5,0,True,False,False,0
10,9670,1,130.6,0,0,1,0,0,18,12.333333333333334,14.2,1,False,False,True,2
11,9500,1,119.3,0,0,1,0,1,18,13.214285714285714,13.214285714285714,1,False,False,True,2
12,9853,1,130.2,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0
13,9254,1,111.8,0,0,1,0,1,21,10.571428571428571,11.0,1,False,False,True,2
14,9085,1,137.1,0,0,1,0,1,18,13.25,12.0,1,False,False,True,2
15,9773,1,120.7,0,0,1,0,0,20,13.2,0.0,0,True,False,False,0
16,9238,1,137.4,0,0,1,0,0,18,12.0,11.0,1,False,True,False,1
17,9500,1,127.3,0,0,1,0,0,18,13.30625,14.545,1,False,False,True,2
18,9130,1,136.3,0,0,1,0,0,20,12.5,12.25,1,False,False,True,2
19,9853,1,124.6,0,0,1,0,0,18,11.666666666666666,13.5,1,False,True,False,1
20,171,1,120.3,0,0,1,0,1,21,0.0,0.0,1,False,False,True,2
21,9556,1,121.8,0,0,1,0,0,20,11.4375,11.425,1,False,True,False,1
22,9500,1,125.5,0,0,1,0,0,18,12.857142857142858,12.857142857142858,1,False,False,True,2
23,9670,1,114.9,0,0,1,0,1,19,13.375,12.285714285714286,1,False,False,True,2
24,9500,1,123.9,0,0,1,0,0,19,13.296666666666669,14.114285714285714,1,False,False,True,2
25,9238,1,157.0,0,1,1,0,1,18,11.6,11.0,1,False,True,False,1
26,9238,1,116.4,0,0,1,0,0,21,11.375,13.285714285714286,1,False,False,True,2
27,9085,1,131.0,0,0,1,0,0,18,12.666666666666666,13.0,1,False,True,False,1
28,9147,1,122.1,0,0,1,0,0,20,12.0,12.333333333333334,1,False,False,True,2
29,9500,1,118.8,0,0,1,1,0,19,12.933333333333332,13.716666666666669,1,False,True,False,1
30,9003,1,150.0,0,0,1,1,0,21,11.857142857142858,10.571428571428571,1,False,True,False,1
31,9070,1,130.0,0,0,1,1,0,20,12.833333333333334,13.4,1,False,False,True,2
32,9147,1,138.8,0,0,0,1,0,18,11.333333333333334,13.5,1,False,True,False,1
33,8014,0,134.5,0,0,1,0,0,19,12.666666666666666,14.375,1,False,False,True,2
34,9991,0,131.4,0,0,1,1,0,34,12.4,13.428571428571429,1,False,False,True,2
35,33,1,102.5,0,1,0,1,0,37,0.0,10.0,0,True,False,False,0
36,9119,1,128.8,0,0,1,1,0,43,0.0,0.0,0,True,False,False,0
37,9147,1,122.9,0,0,1,0,0,55,10.0,12.0,0,True,False,False,0
38,9991,0,113.9,0,0,1,0,0,39,11.0,11.6,1,False,False,True,2
39,9130,1,120.0,0,1,0,0,0,20,11.666666666666666,12.0,0,True,False,False,0
40,9773,1,121.1,0,1,1,0,0,18,12.75,0.0,0,True,False,False,0
41,9147,1,120.4,0,0,1,0,0,22,14.8,15.8,1,False,False,True,2
42,9500,1,100.6,1,0,1,0,0,22,13.928,14.342857142857142,1,False,False,True,2
43,9773,1,121.4,0,0,0,0,0,20,13.0,13.8,0,True,False,False,0
44,9991,0,109.7,0,0,1,0,0,29,0.0,0.0,0,True,False,False,0
45,9991,0,134.1,0,0,1,0,0,24,11.5,14.333333333333334,1,False,True,False,1
46,9238,1,127.6,0,0,1,0,0,18,11.666666666666666,13.2,1,False,False,True,2
47,9500,1,132.4,0,0,1,0,1,22,13.516666666666666,13.771428571428572,1,False,False,True,2
48,8014,0,133.4,0,0,1,0,1,21,11.5,13.285714285714286,1,False,False,True,2
49,9238,1,126.1,0,0,1,0,1,19,12.333333333333334,12.833333333333334,1,False,False,True,2
50,9254,1,113.5,0,0,1,0,1,24,13.666666666666666,14.166666666666666,1,False,False,True,2
51,9500,1,121.3,0,0,1,0,1,19,11.833333333333334,11.833333333333334,1,False,True,False,1
52,9773,1,121.8,0,0,1,0,1,20,14.0,11.0,1,False,True,False,1
53,9130,1,159.3,0,0,1,0,0,19,14.714285714285714,15.8,1,False,False,True,2
54,9991,0,120.0,0,0,1,0,0,27,10.6,11.0,0,True,False,False,0
55,9500,1,129.1,0,0,1,0,0,18,13.044444444444444,13.595,1,False,False,True,2
56,9254,1,130.0,0,0,1,0,0,39,0.0,0.0,0,True,False,False,0
57,9130,1,155.3,0,0,1,0,0,27,13.0,12.9,0,True,False,False,0
58,9500,1,139.8,0,0,1,0,0,18,14.935,14.935,1,False,False,True,2
59,171,1,115.2,0,0,1,0,0,18,0.0,0.0,1,False,True,False,1
60,9500,1,114.9,0,0,1,0,0,18,13.133333333333333,12.221428571428572,1,False,False,True,2
61,9238,1,131.9,0,0,1,0,1,21,12.0,12.0,1,False,False,True,2
62,171,1,126.0,0,0,1,1,1,19,0.0,0.0,1,False,True,False,1
63,9070,1,130.2,0,0,1,1,0,19,11.4,10.0,1,False,True,False,1
64,9070,1,120.9,0,0,1,1,0,24,0.0,0.0,1,False,True,False,1
65,9500,1,126.0,0,0,1,1,0,29,11.9,11.0,0,True,False,False,0
66,171,1,128.2,0,0,1,1,1,19,0.0,0.0,1,False,False,True,2
67,9003,1,130.0,0,0,1,1,0,23,12.571428571428571,12.428571428571429,1,False,False,True,2
68,9147,1,120.1,0,1,1,1,0,19,11.2,10.75,0,True,False,False,0
69,9254,1,100.0,0,0,1,1,0,26,12.0,10.8,1,False,True,False,1
70,9147,1,134.0,0,0,1,1,0,18,0.0,0.0,1,False,True,False,1
71,9500,1,130.8,0,0,1,1,0,24,11.975,13.75,1,False,False,True,2
72,171,1,135.8,0,0,1,1,0,19,0.0,0.0,0,True,False,False,0
73,9254,1,111.7,0,0,1,1,0,18,11.666666666666666,12.0,0,True,False,False,0
74,9773,1,132.9,0,0,1,1,0,18,12.333333333333334,12.333333333333334,1,False,False,True,2
75,9147,1,115.5,0,1,1,1,0,18,10.333333333333334,10.857142857142858,0,True,False,False,0
76,9254,1,106.0,0,0,1,1,1,21,10.5,11.0,0,True,False,False,0
77,9773,1,120.3,0,1,1,1,1,19,13.666666666666666,13.333333333333334,1,False,False,True,2
78,9500,1,130.8,0,0,1,1,1,22,14.842857142857142,15.055555555555555,1,False,False,True,2
79,8014,0,117.0,0,0,1,1,0,33,12.0,11.666666666666666,1,False,False,True,2
80,9853,1,110.2,0,0,1,1,0,20,12.2,12.2,0,True,False,False,0
81,9991,0,155.7,0,0,1,1,0,35,0.0,0.0,0,True,False,False,0
82,9003,1,180.4,0,1,1,1,0,24,12.166666666666666,13.3,0,True,False,False,0
83,9254,1,125.5,0,0,1,1,0,18,12.0,11.333333333333334,1,False,True,False,1
84,8014,0,110.0,0,0,1,0,0,33,11.0,11.0,1,False,False,True,2
85,9500,1,161.0,0,0,1,0,1,22,13.08,13.08,1,False,False,True,2
86,9670,1,100.0,0,0,1,0,1,25,10.5,11.6,1,False,False,True,2
87,9070,1,117.6,0,0,1,1,0,20,10.666666666666666,11.2,1,False,False,True,2
88,9147,1,128.7,0,0,1,1,0,23,14.0,13.8,1,False,True,False,1
89,9119,1,112.2,0,1,1,1,0,18,10.0,0.0,1,False,True,False,1
90,9500,1,100.8,0,0,1,1,0,24,0.0,0.0,0,True,False,False,0
91,9773,1,105.0,0,0,0,0,0,21,14.0,13.5,1,False,False,True,2
92,9130,1,100.0,0,0,1,0,0,26,12.0,0.0,0,True,False,False,0
93,9853,1,115.5,0,0,1,0,0,39,12.666666666666666,0.0,0,True,False,False,0
94,8014,0,114.0,0,0,1,0,0,44,11.875,12.333333333333334,1,False,False,True,2
95,9119,1,137.0,0,0,1,1,0,19,14.0,13.25,1,False,True,False,1
96,9773,1,124.9,0,0,1,0,0,18,13.666666666666666,13.333333333333334,1,False,False,True,2
97,9500,1,120.3,0,0,1,0,1,18,13.75,14.47777777777778,1,False,False,True,2
98,9085,1,134.3,0,0,1,0,0,19,14.2,13.8,1,False,True,False,1
99,9500,1,111.5,0,1,0,0,0,19,11.96,0.0,0,True,False,False,0
100,9085,1,128.8,0,0,1,0,0,21,12.875,13.4,0,True,False,False,0
101,171,1,110.0,0,0,1,0,0,20,0.0,0.0,1,False,False,True,2
102,8014,0,113.5,0,0,1,0,0,36,0.0,0.0,0,True,False,False,0
103,9003,1,160.0,0,0,1,0,0,43,14.63157894736842,14.23076923076923,1,False,False,True,2
104,9853,1,117.4,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0
105,9070,1,122.2,0,1,1,0,0,20,13.0,12.272727272727272,1,False,False,True,2
106,9238,1,118.2,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0
107,9085,1,106.7,0,0,1,0,0,20,14.2,13.25,0,True,False,False,0
108,9500,1,108.2,0,0,1,0,0,20,13.266666666666666,12.3,0,True,False,False,0
109,9853,1,107.0,0,0,1,0,0,20,11.666666666666666,13.0,1,False,True,False,1
110,9238,1,136.1,0,0,1,0,0,18,13.857142857142858,15.0,1,False,False,True,2
111,9147,1,115.3,0,0,1,0,1,18,13.0,11.0,1,False,True,False,1
112,9085,1,139.8,0,0,1,0,0,19,13.4,12.8,1,False,False,True,2
113,9773,1,157.0,0,0,1,0,0,18,12.666666666666666,12.571428571428571,1,False,False,True,2
114,9500,1,131.0,0,0,1,0,0,18,12.516666666666666,12.516666666666666,0,True,False,False,0
115,9500,1,100.0,0,0,1,0,0,20,11.616666666666667,13.0,1,False,True,False,1
116,9238,1,140.4,0,0,1,0,1,20,10.0,10.75,1,False,True,False,1
117,9147,1,113.4,0,0,1,0,0,20,10.333333333333334,10.666666666666666,1,False,True,False,1
118,9085,1,137.0,0,0,1,0,0,18,13.142857142857142,11.4,1,False,False,True,2
119,9147,1,121.8,0,0,1,0,0,18,12.6,14.0,1,False,False,True,2
120,9254,1,131.0,0,0,1,0,0,21,11.0,11.0,0,True,False,False,0
121,9147,1,118.6,0,0,1,0,0,19,10.8,11.25,1,False,False,True,2
122,171,1,122.3,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0
123,9670,1,127.9,0,0,1,0,1,19,12.8,14.2,1,False,False,True,2
124,9085,1,121.3,0,0,1,0,0,19,14.166666666666666,12.2,1,False,False,True,2
125,9556,1,117.1,0,0,1,0,0,19,12.1,0.0,0,True,False,False,0
126,9085,1,160.0,0,0,1,0,0,20,14.166666666666666,13.77777777777778,1,False,False,True,2
127,9853,1,145.3,0,0,1,0,1,18,12.8,13.4,1,False,True,False,1
128,9238,1,122.6,0,0,1,0,0,18,13.0,13.666666666666666,1,False,False,True,2
129,9500,1,128.0,0,0,1,0,0,19,13.467142857142855,15.011111111111113,1,False,False,True,2
130,9500,1,124.9,0,0,1,0,1,18,13.2375,13.742857142857144,0,True,False,False,0
131,9070,1,123.7,0,0,1,0,0,18,12.333333333333334,13.0,1,False,False,True,2
132,9147,1,120.1,0,0,1,0,0,19,12.4,14.6,1,False,False,True,2
133,9500,1,131.7,0,0,1,0,0,19,14.0,0.0,0,True,False,False,0
134,9238,1,133.2,0,0,1,0,0,20,11.666666666666666,11.714285714285714,1,False,False,True,2
135,9670,1,109.3,0,1,0,0,1,19,12.0,12.5,0,True,False,False,0
136,9670,1,113.0,0,0,1,0,0,20,12.2,11.5,1,False,False,True,2
137,9773,1,157.9,0,1,1,0,1,18,14.833333333333334,14.833333333333334,1,False,False,True,2
138,9500,1,112.1,0,0,1,0,1,20,13.188,12.892857142857142,1,False,True,False,1
139,9500,1,174.7,0,0,1,0,0,18,17.125,17.5875,1,False,False,True,2
140,9500,1,128.8,0,0,1,0,0,19,12.666666666666666,12.666666666666666,1,False,False,True,2
141,9773,1,110.1,0,0,1,0,1,19,12.666666666666666,12.0,1,False,False,True,2
